time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-03-20T23:25:28.964Z,53.8329,-169.7303,211.541,4.9,mb,137,31,0.968,0.64,us,us7000jljn,2023-03-29T14:22:00.367Z,"115 km NNW of Nikolski, Alaska",earthquake,7.41,6.063,0.022,679,reviewed,us,us
2023-03-20T10:34:42.530Z,18.582,-66.691,26,3.46,md,19,214,0.1925,0.21,pr,pr2023079000,2023-03-21T10:37:20.314Z,"12 km NNE of Arecibo, Puerto Rico",earthquake,0.79,1.32,0.1,18,reviewed,pr,pr
2023-03-19T15:06:27.280Z,59.6095,-151.907,65.4,5.4,mww,,,,0.49,ak,ak0233l8vwxa,2023-03-31T15:16:32.253Z,"19 km SSW of Anchor Point, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-03-19T11:10:10.603Z,37.2943,-104.438,4.493,3.8,mwr,65,42,0.157,0.47,us,us7000jl8p,2023-03-27T05:27:50.486Z,Colorado,earthquake,5.18,5.505,0.051,37,reviewed,us,us
2023-03-19T10:12:11.887Z,63.1047,-150.9621,122.4,3.7,ml,,,,0.65,ak,ak0233l5y01g,2023-03-27T05:09:25.040Z,Central Alaska,earthquake,,0.3,,,reviewed,ak,ak
2023-03-18T17:19:33.150Z,33.2471667,-115.7958333,7.07,3.56,mlr,80,27,0.1296,0.17,ci,ci40186575,2023-03-22T20:13:20.271Z,"13km SSW of Bombay Beach, CA",earthquake,0.14,0.62,0.149,239,reviewed,ci,ci
2023-03-18T17:12:52.583Z,-2.8367,-79.8436,65.842,6.8,mww,152,28,0.709,1.27,us,us7000jl3s,2023-03-30T15:57:31.960Z,"8 km NNW of Baláo, Ecuador",earthquake,6.64,3.333,0.038,68,reviewed,us,us
2023-03-18T16:52:07.010Z,33.2466667,-115.799,7.15,3.55,mw,79,27,0.1312,0.18,ci,ci40186543,2023-03-19T16:55:36.338Z,"13km SSW of Bombay Beach, CA",earthquake,0.13,0.58,,4,reviewed,ci,ci
2023-03-18T14:23:06.660Z,37.508,-117.9741667,0.32,3.7,mw,39,116,0.3133,0.09,nc,nc73858675,2023-03-20T18:49:16.964Z,"15km N of Deep Springs, CA",earthquake,0.25,0.95,,4,reviewed,nc,nc
2023-03-18T07:03:42.530Z,37.5096667,-117.972,-0.21,3.87,mw,32,146,0.315,0.08,nc,nc73858500,2023-03-31T07:51:04.157Z,"15km N of Deep Springs, CA",earthquake,0.35,0.72,,6,reviewed,nc,nc
2023-03-17T15:46:01.944Z,-38.0709,176.6406,10,5.3,mww,37,87,0.606,1.04,us,us7000jkvz,2023-03-23T19:53:33.040Z,"6 km WNW of Kawerau, New Zealand",earthquake,4.92,1.872,0.078,16,reviewed,us,us
2023-03-17T15:04:25.116Z,59.2674,-144.9377,8.6,4.9,mb,,,,0.71,ak,ak0233hxssds,2023-03-24T20:59:17.715Z,"149 km SSE of Cordova, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2023-03-17T03:33:15.323Z,52.5639,-169.9892,44.76,4.2,mb,20,179,0.801,0.78,us,us7000jkqe,2023-03-24T00:56:49.572Z,"86 km WSW of Nikolski, Alaska",earthquake,12.56,11.622,0.158,11,reviewed,us,us
2023-03-17T01:25:40.340Z,42.19183333,-119.3953333,7.75,2.86,ml,9,182,0.3764,0.16,uw,uw61902827,2023-03-17T15:17:57.990Z,"48 km ESE of Plush, Oregon",earthquake,0.84,4.2,0.141626864,4,reviewed,uw,uw
2023-03-16T20:37:11.770Z,42.1935,-119.3943333,9.31,2.92,ml,11,182,0.3772,0.21,uw,uw61902762,2023-03-24T20:49:14.040Z,"48 km ESE of Plush, Oregon",earthquake,0.74,2.04,0.233608117,6,reviewed,uw,uw
2023-03-16T20:33:40.880Z,42.18816667,-119.3925,7.64,3.35,ml,9,182,0.3783,0.15,uw,uw61902757,2023-03-24T20:49:49.040Z,Oregon,earthquake,0.72,15.07,0.204562164,5,reviewed,uw,uw
2023-03-16T14:00:28.204Z,52.9988,-163.0393,39.62,3.5,ml,11,253,1.8,0.7,us,us7000jkez,2023-03-28T21:18:45.126Z,"207 km S of False Pass, Alaska",earthquake,8.52,27.038,0.115,14,reviewed,us,us
2023-03-16T00:56:00.139Z,-30.1743,-176.1982,10,7,mww,324,8,1.752,0.7,us,us7000jkbd,2023-03-30T05:35:21.366Z,Kermadec Islands region,earthquake,8.15,1.618,0.078,16,reviewed,us,us
2023-03-15T21:44:05.160Z,37.5105,-117.9556667,-0.79,3.75,mw,40,147,0.3279,0.11,nc,nc73857425,2023-03-30T02:49:34.757Z,"16km N of Deep Springs, CA",earthquake,0.39,0.8,,4,reviewed,nc,nc
2023-03-15T21:25:38.477Z,4.6942,126.9169,45.698,5.4,mww,237,24,2.709,0.75,us,us7000jk9p,2023-03-30T02:06:48.993Z,"179 km ESE of Sarangani, Philippines",earthquake,7.91,3.707,0.058,29,reviewed,us,us
